feature,mean_abs_shap,rank
V14,0.0198190826041255,1
V12,0.0082301875464944,2
V4,0.0074377445181569,3
V10,0.0068217816344728,4
V3,0.0057541105667495,5
V11,0.0031317132167777,6
V17,0.0025961174280153,7
V7,0.002366052590662,8
V8,0.0021637056448599,9
V1,0.0021349379144715,10
V28,0.001368400366266,11
V22,0.0012344204070645,12
V27,0.001171348436339,13
Amount,0.0011694839409697,14
V6,0.0011660394215333,15
V2,0.0011311283746331,16
V5,0.0011248060270784,17
V9,0.0010699258447273,18
Time,0.0010092094361694,19
V18,0.0009333502047198,20
V23,0.0007807156386436,21
V25,0.0007605310766473,22
V20,0.0007222304728491,23
V24,0.0007065384154324,24
V15,0.0007049212203673,25
V16,0.0006638119701625,26
V21,0.0005856819953708,27
V26,0.0005671693634242,28
V19,0.0004549754662352,29
V13,0.0004441766639922,30
