Rank,Feature,Mean |SHAP|,Share (%)
1,V14,0.019819,25.34
2,V12,0.008230,10.52
3,V4,0.007438,9.51
4,V10,0.006822,8.72
5,V3,0.005754,7.36
6,V11,0.003132,4.00
7,V17,0.002596,3.32
8,V7,0.002366,3.02
9,V8,0.002164,2.77
10,V1,0.002135,2.73
11,V28,0.001368,1.75
12,V22,0.001234,1.58
13,V27,0.001171,1.50
14,Amount,0.001169,1.50
15,V6,0.001166,1.49
16,V2,0.001131,1.45
17,V5,0.001125,1.44
18,V9,0.001070,1.37
19,Time,0.001009,1.29
20,V18,0.000933,1.19
21,V23,0.000781,1.00
22,V25,0.000761,0.97
23,V20,0.000722,0.92
24,V24,0.000707,0.90
25,V15,0.000705,0.90
26,V16,0.000664,0.85
27,V21,0.000586,0.75
28,V26,0.000567,0.73
29,V19,0.000455,0.58
30,V13,0.000444,0.57
