metric,series,fold_1,fold_2,fold_3,fold_4,fold_5
pr_auc,XGBoost,0.8264939592459962,0.8714976241849071,0.8037341856243508,0.8767604075228523,0.8733816928202217
pr_auc,Logistic regression,0.7508275193803291,0.7305092893550322,0.6969311762212363,0.7636521091993126,0.7644470376256302
pr_auc,Difference (XGB − LR),0.07566643986566712,0.14098833482987483,0.10680300940311449,0.11310829832353975,0.10893465519459156
f1,XGBoost,0.8421052631578947,0.8873239436619719,0.8115942028985508,0.8611111111111112,0.88
f1,Logistic regression,0.8260869565217391,0.8029197080291971,0.7368421052631579,0.8205128205128205,0.8496732026143791
f1,Difference (XGB − LR),0.016018306636155555,0.08440423563277477,0.07475209763539292,0.040598290598290676,0.03032679738562094
precision,XGBoost,0.9655172413793104,0.9402985074626866,0.9032258064516128,0.9117647058823528,0.8918918918918919
precision,Logistic regression,0.9047619047619048,0.8870967741935484,0.8596491228070176,0.8,0.8441558441558441
precision,Difference (XGB − LR),0.06075533661740562,0.05320173326913824,0.043576683644595215,0.11176470588235277,0.04773604773604778
recall,XGBoost,0.7466666666666667,0.84,0.7368421052631579,0.8157894736842105,0.868421052631579
recall,Logistic regression,0.76,0.7333333333333333,0.6447368421052632,0.8421052631578947,0.8552631578947368
recall,Difference (XGB − LR),-0.013333333333333308,0.10666666666666669,0.09210526315789469,-0.02631578947368418,0.013157894736842146
fpr,XGBoost,4.412965292027978e-05,8.825930584055957e-05,0.0001323918799646,0.0001323918799646,0.0001765225066195
fpr,Logistic regression,0.0001323889587608,0.0001544537852209,0.0001765225066195,0.0003530450132391,0.0002647837599293
fpr,Difference (XGB − LR),-8.825930584052021e-05,-6.619447938034043e-05,-4.413062665489998e-05,-0.0002206531332745,-8.826125330979999e-05
balanced_accuracy,XGBoost,0.8733112685068731,0.9199558703470796,0.8683548566915966,0.907828540902123,0.9341222650624796
balanced_accuracy,Logistic regression,0.8799338055206196,0.8665894397740561,0.8222801597993218,0.9208761090723278,0.9274991870674036
balanced_accuracy,Difference (XGB − LR),-0.006622537013746488,0.05336643057302348,0.046074696892274836,-0.013047568170204804,0.006623077995075999
