model,fold,threshold,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,fpr,brier,tn,fp,fn,tp
xgb_smote,1,0.9661937355995178,0.8264939592459962,0.9724530938564169,0.8421052631578947,0.9655172413793104,0.7466666666666667,0.8733112685068731,4.412965292027978e-05,0.0006314269849099219,45319,2,19,56
xgb_smote,2,0.9268923997879028,0.8714976241849071,0.9735731044475335,0.8873239436619719,0.9402985074626866,0.84,0.9199558703470797,8.825930584055957e-05,0.0007282643346115947,45317,4,12,63
xgb_smote,3,0.9183980226516724,0.8037341856243508,0.9703988015050866,0.8115942028985508,0.9032258064516129,0.7368421052631579,0.8683548566915966,0.0001323918799646955,0.0007954571628943086,45314,6,20,56
xgb_smote,4,0.9898189902305603,0.8767604075228523,0.9838795466158777,0.8611111111111112,0.9117647058823529,0.8157894736842105,0.907828540902123,0.0001323918799646955,0.0006541199400089681,45314,6,14,62
xgb_smote,5,0.88460773229599,0.8733816928202217,0.9922544943559252,0.88,0.8918918918918919,0.868421052631579,0.9341222650624796,0.000176522506619594,0.0007381202303804457,45312,8,10,66
logreg_smote,1,0.9999999234023925,0.7508275193803291,0.9618157881188264,0.8260869565217391,0.9047619047619048,0.76,0.8799338055206196,0.00013238895876083935,0.023531715700166475,45315,6,18,57
logreg_smote,2,0.9999998884276162,0.7305092893550322,0.9772040922898142,0.8029197080291971,0.8870967741935484,0.7333333333333333,0.8665894397740561,0.00015445378522097923,0.02538675683033159,45314,7,20,55
logreg_smote,3,0.9999998104270409,0.6969311762212363,0.98003553676778,0.7368421052631579,0.8596491228070176,0.6447368421052632,0.8222801597993218,0.000176522506619594,0.020611512342582537,45312,8,27,49
logreg_smote,4,0.9999987072520823,0.7636521091993126,0.9819354763785013,0.8205128205128205,0.8,0.8421052631578947,0.9208761090723278,0.000353045013239188,0.024030066225988456,45304,16,12,64
logreg_smote,5,0.9999999508812611,0.7644470376256302,0.9949740442235333,0.8496732026143791,0.8441558441558441,0.8552631578947368,0.9274991870674036,0.000264783759929391,0.024455320952844344,45308,12,11,65
